strike,bid,ask,price,bs_price,binomial_price,s,q,r,t
240.0,107.1,110.05,108.57499999999999,48.63307488016352,99.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
250.0,98.95,101.2,100.075,41.413086060932216,89.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
260.0,90.35,92.6,91.475,34.86294519629459,79.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
270.0,81.9,84.25,83.075,29.017071977322644,69.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
280.0,73.4,76.15,74.775,23.883647056944028,59.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
290.0,66.2,68.25,67.225,19.446513017738184,49.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
300.0,58.7,61.0,59.85,15.669154923137185,39.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
310.0,51.85,54.05,52.95,12.49983288471725,29.45001220703125,339.45001220703125,0.32,0.043970003,0.6410958904109589
320.0,45.35,47.1,46.225,9.877007096999051,21.486238063278666,339.45001220703125,0.32,0.043970003,0.6410958904109589
330.0,39.3,40.95,40.125,7.734389820638036,15.629261228643003,339.45001220703125,0.32,0.043970003,0.6410958904109589
340.0,33.55,34.6,34.075,6.005198760707309,11.420197323041739,339.45001220703125,0.32,0.043970003,0.6410958904109589
350.0,28.85,29.55,29.200000000000003,4.62541272392118,8.336384677904748,339.45001220703125,0.32,0.043970003,0.6410958904109589
360.0,24.4,25.0,24.7,3.5360095513961127,6.077461758530306,339.45001220703125,0.32,0.043970003,0.6410958904109589
370.0,20.45,21.15,20.799999999999997,2.684286549137603,4.418712157911786,339.45001220703125,0.32,0.043970003,0.6410958904109589
380.0,17.1,17.75,17.425,2.024428593866677,3.212171277898666,339.45001220703125,0.32,0.043970003,0.6410958904109589
390.0,14.15,14.95,14.55,1.5175103571624255,2.333723339973507,339.45001220703125,0.32,0.043970003,0.6410958904109589
400.0,11.75,12.05,11.9,1.1311106045286827,1.681220808219642,339.45001220703125,0.32,0.043970003,0.6410958904109589
410.0,9.6,10.25,9.925,0.8386910762732906,1.221074190176133,339.45001220703125,0.32,0.043970003,0.6410958904109589
420.0,8.0,8.55,8.275,0.6188600129727648,0.8785009775251075,339.45001220703125,0.32,0.043970003,0.6410958904109589
430.0,6.5,7.0,6.75,0.4546077219154485,0.6272256083412995,339.45001220703125,0.32,0.043970003,0.6410958904109589
440.0,5.35,5.75,5.55,0.33257262946283817,0.4543811160194974,339.45001220703125,0.32,0.043970003,0.6410958904109589
450.0,4.3,4.75,4.525,0.24237280323970012,0.3209559705990456,339.45001220703125,0.32,0.043970003,0.6410958904109589
460.0,3.55,3.9,3.7249999999999996,0.176020281793968,0.23259956517318897,339.45001220703125,0.32,0.043970003,0.6410958904109589
470.0,2.87,3.2,3.035,0.127423196396663,0.1637907095210829,339.45001220703125,0.32,0.043970003,0.6410958904109589
480.0,2.29,2.5,2.395,0.09197269218645276,0.11787611241606918,339.45001220703125,0.32,0.043970003,0.6410958904109589
490.0,1.93,2.09,2.01,0.0662070363047007,0.0827943543281965,339.45001220703125,0.32,0.043970003,0.6410958904109589
500.0,1.46,1.77,1.615,0.047543093222226496,0.05927665910267903,339.45001220703125,0.32,0.043970003,0.6410958904109589
510.0,1.26,1.41,1.335,0.03406475963842914,0.041480505241856876,339.45001220703125,0.32,0.043970003,0.6410958904109589
520.0,1.02,1.15,1.085,0.02435836720278567,0.029654768228717765,339.45001220703125,0.32,0.043970003,0.6410958904109589
530.0,0.82,0.95,0.885,0.017386031472466035,0.02057974401645777,339.45001220703125,0.32,0.043970003,0.6410958904109589
540.0,0.67,0.79,0.73,0.012389141320287123,0.014772356461012784,339.45001220703125,0.32,0.043970003,0.6410958904109589
550.0,0.0,0.0,0.0,0.008815445998827193,0.010116813596130135,339.45001220703125,0.32,0.043970003,0.6410958904109589
560.0,0.4,0.69,0.5449999999999999,0.006264389971878684,0.007317576956441072,339.45001220703125,0.32,0.043970003,0.6410958904109589
580.0,0.13,0.52,0.325,0.0031527980964995567,0.003591548716314842,339.45001220703125,0.32,0.043970003,0.6410958904109589
590.0,0.08,0.45,0.265,0.0022335510633901753,0.0024443443445161996,339.45001220703125,0.32,0.043970003,0.6410958904109589
600.0,0.14,0.4,0.27,0.001581106978182742,0.00173948385616792,339.45001220703125,0.32,0.043970003,0.6410958904109589
